Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
E_PH_1.16.4.1.1,Salicylates,"- MOA
- Pharmacological Action
- Therapeutic Uses
- Adverse Effects
- Classification of NSAIDS",True,5,2008-08;2015-02;2023-02;2001-11;2008-02,n=PH-tarav&ed=4&vol=0#241,,
S_PH_1.16.3.1.1,Therapeutic Uses of Prostaglandins,,True,7,2008-08;2010-08;2011-08;2014-02;2017-02;2022-08;2011-02,n=PH-tarav&ed=4&vol=0#238,,
S_PH_1.16.2.2.1,Pharmacotherapy of Migrane,Selective 5-HT 1B/1D agonist;Sumatriptan,True,5,2010-08;2015-02;2012-08;2022-08;2019-02,n=PH-tarav&ed=4&vol=0#235,,
S_PH_1.16.5.2;1.16.5.2.1,Drug therapy of Chronic Gout,Uricosuric Agents;Probenecid,True,7,2010-08;2015-02;2008-02;2011-08;2023-02;2023-07;2022-02,n=PH-tarav&ed=4&vol=0#250,,
S_PH_1.16.1.1.1.3,Therapeutic Uses of H1 Antihistaminics,,True,1,2011-02,n=PH-tarav&ed=4&vol=0#231,,
S_PH_1.16.2.2.2,Drugs used in Prophylaxis of Migraine,,True,5,2011-08;2017-08;2022-03;2000-04;2009-02,n=PH-tarav&ed=4&vol=0#237,,
S_PH_1.16.4.2,Selective Cox 2 Inhibitors,,True,6,2008-08;2009-08;2010-02;2011-08;2014-08;2018-02,n=PH-tarav&ed=4&vol=0#247,,
S_PH_1.16.1.1.1.2,Second Generation Antihistaminics,Non Sedative H1 Blockers;Ebastine;Azelastine;Rupatadine,True,7,2008-08;2019-08;2020-02;2004-08;2005-08;2014-08;2013-08,n=PH-tarav&ed=4&vol=0#232,,
S_PH_1.16.4.1.1.1;1.16.4.1.1.2;1.16.4.1.1.3;1.16.4.1.1.4,Aspirin,Contraindications;Effects on Acid Base and Electrolyte Balance;Dose Dependant Actions;Uses,True,5,2011-02;2013-08;2016-02;2019-02;2023-07,n=PH-tarav&ed=4&vol=0#241,,
S_PH_1.16.6.1,DMARDs,,True,2,2011-02;2022-08,n=PH-tarav&ed=4&vol=0#252,,
S_PH_1.16.5.1,Acute Gout,,True,3,2012-02;2014-08;2023-02,n=PH-tarav&ed=4&vol=0#249,,
S_PH_1.16.1.1.1.1,First Generation Antihistaminics,,True,1,2013-08,n=PH-tarav&ed=4&vol=0#231,,
S_PH_1.16.4.1.2.1,Acute Paracetamol Poisoning,,True,1,2014-08,n=PH-tarav&ed=4&vol=0#248,,
S_PH_1.16.1.1.1.1;1.16.1.1.1.2,Difference between 1st and 2nd Generation Antihistaminics,,True,1,2020-02,n=PH-tarav&ed=4&vol=0#231,,
S_PH_1.16.6.2,Role of Biologics in Rheumatoid Arthritis,,True,1,2020-11,n=PH-tarav&ed=4&vol=0#254,,
S_PH_1.16.2;1.16.2.1,5HT Antagonist,Cyproheptadine,True,3,2005-02;2007-02;2013-08,n=PH-tarav&ed=4&vol=0#234,,
S_PH_1.16.4.3.1,Nimesulide,Preferential COX 2 Inhibitor,True,2,2015-08;2012-08,n=PH-tarav&ed=4&vol=0#245,,
S_PH_1.16.4.1.3,Ketorolac,Non Selective COX-2 Inhibitor,True,1,2015-08,n=PH-tarav&ed=4&vol=0#246,,
