Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_OR_,Compartment Syndrome,,True,4,2023-08;2020-11;2018-02;2013-08,,@book?n=OR-mahesh&ed=7&vol=0#47
S_OR_,Anatomy of Bones,- Blood Supply of Long Bones,True,1,2023-08,,@book?n=OR-mahesh&ed=7&vol=0#8
S_OR_,Plaster of Paris (POP),- Uses,True,4,2023-03;2016-02;2014-02;2010-08,,@book?n=OR-mahesh&ed=7&vol=0#18
S_OR_,Seddon's Classification of Nerve Injuries,- Asked as a Short Answer,True,3,2023-03;2017-08;2010-02,,@book?n=OR-mahesh&ed=7&vol=0#63
S_OR_,Non-union,- Treatment of Hypertrophic Non-union,True,4,2022-08;2012-08;2010-02;2009-08,,@book?n=OR-mahesh&ed=7&vol=0#48
S_OR_,Ulnar Nerve Palsy (or) Claw Hand,,True,7,2022-08;2015-08;2013-08;2012-02;2011-08;2009-08;2008-02,,"@book?n=OR-mahesh&ed=7&vol=0#63,66"
S_OR_,Epiphyseal Injuries,- Thurston Holland Sign (Asked as a Short Answer);- Salter and Harris Classification (Asked as a Short Answer),True,6,2022-04;2021-08;2020-08;2017-02;2012-08;2012-02,,@book?n=OR-mahesh&ed=7&vol=0#58
E_OR_,Open (or) Compound Fracture,"- Definition- Classification- Investigations- Management",True,1,2021-04,,"@book?n=OR-mahesh&ed=7&vol=0#2,21"
S_OR_,Ulnar Paradox,- Asked as a Short Answer,True,2,2021-04;2011-08,,@book?n=OR-mahesh&ed=7&vol=0#64
S_OR_,Radial Nerve Palsy (or) Wrist Drop,- Cock-up Splint (Asked as a Short Answer),True,6,2020-11;2020-02;2018-02;2013-02;2011-02;2008-02,,"@book?n=OR-mahesh&ed=7&vol=0#63,65"
S_OR_,Green Stick Fracture,- Asked as a Short Answer,True,2,2020-11;2014-02,,@book?n=OR-mahesh&ed=7&vol=0#58
S_OR_,Myositis Ossificans (or) Post-Traumatic Ossification,,True,3,2020-08;2017-08;2011-02,,@book?n=OR-mahesh&ed=7&vol=0#52
E_OR_,Road Traffic Accident,"- Examination- Assessment- Immediate Resuscitation",True,1,2019-08,,@book?n=OR-mahesh&ed=7&vol=0#14
S_OR_,Volkmann's Ischemic Contracture,,True,3,2017-02;2011-08;2009-08,,@book?n=OR-mahesh&ed=7&vol=0#98
S_OR_,Erb's Palsy (or) Policeman Tip Deformity,,True,2,2016-08;2010-02,,@book?n=OR-mahesh&ed=7&vol=0#64
S_OR_,Pathological Fractures,- Asked as a Short Answer,True,2,2016-02;2009-08,,@book?n=OR-mahesh&ed=7&vol=0#3
S_OR_,Open (or) Compound Fracture,,True,1,2014-08,,"@book?n=OR-mahesh&ed=7&vol=0#2,21"
S_OR_,Ilizarov's Technique (or) Fixator,- Asked as a Short Answer,True,1,2014-08,,@book?n=OR-mahesh&ed=7&vol=0#35
S_OR_,Foot Drop,,True,2,2014-02;2010-08,,@book?n=OR-mahesh&ed=7&vol=0#63
S_OR_,Fat Embolism,,True,1,2013-02,,@book?n=OR-mahesh&ed=7&vol=0#44
S_OR_,External Fixator,,True,1,2012-08,,@book?n=OR-mahesh&ed=7&vol=0#20
S_OR_,Malunion,,True,3,2012-02;2011-08;2008-02,,@book?n=OR-mahesh&ed=7&vol=0#50
S_OR_,Bone Grafting,,True,1,2009-08,,@book?n=OR-mahesh&ed=7&vol=0#82
S_OR_,Median Nerve Palsy (or) Ape Thumb Deformity,- Asked as a Short Answer,True,1,2009-08,,@book?n=OR-mahesh&ed=7&vol=0#64
S_OR_,Tinel's Sign,,True,1,2008-02,,@book?n=OR-mahesh&ed=7&vol=0#69
