Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
E_SU_,Carcinoma Stomach,"- Diagnosis
- Etiology
- Pathogenesis
- Staging
- Management;- Etiology
- Classification
- Clinical Features
- Diagnosis
- Management;- Definition of Early Gastric Cancer
- Investigation
- Management of Carcinoma of Pyloric Antrum",True,4,2025-03;2022-04;2020-02;2018-02,"A 60 year old man presented with weakness and anemia, associated with **vomiting indigested food**. He has **abdominal distention**.",@book?n=SU-srbmos&ed=7&vol=0#901
S_SU_,Upper Gastro-Intestinal Scopy (or) Gastroscopy,,True,1,2024-05,,"@book?n=SU-srbmos&ed=7&vol=0#845,875"
S_SU_,Dumping Syndrome (or) Postcibal Syndrome,,True,2,2024-05;2020-02,,@book?n=SU-srbmos&ed=7&vol=0#896
S_SU_,Congenital (or) Infantile Hypertrophic Pyloric Stenosis,,True,2,2024-03;2022-04,,@book?n=SU-srbmos&ed=7&vol=0#877
S_SU_,Linitis Plastica (or) Leather Bottle Stomach,,True,1,2024-08,,@book?n=SU-srbmos&ed=7&vol=0#906
S_SU_,Barret's Oesophagus,,True,2,2023-08;2021-04,,@book?n=SU-srbmos&ed=7&vol=0#852
E_SU_,Upper Gastrointestinal (UGI) Bleeding (or) Hematemesis,"- Causes
- Investigation
- Treatment;- Causes of Hematemesis
- Treatment of Oesophageal Varices",True,3,2023-03;2022-08;2018-02,,"@book?n=SU-srbmos&ed=7&vol=0#668,858,860,878,882,887,890,893,1049"
S_SU_,Gastrointestinal Stromal Tumours (GIST),,True,1,2023-03,,@book?n=SU-srbmos&ed=7&vol=0#914
S_SU_,Plummer-Vinson (or) Paterson-Brown-Kelly Syndrome,- Asked as a Short Answer,True,1,2023-03,,@book?n=SU-srbmos&ed=7&vol=0#856
S_SU_,Gastro-Oesophageal Reflux Disease (GORD/GERD),,True,1,2022-04,,@book?n=SU-srbmos&ed=7&vol=0#846
S_SU_,Boerhaave's Syndrome,- Asked as a Short Answer,True,1,2022-04,,@book?n=SU-srbmos&ed=7&vol=0#858
E_SU_,Gastric Outlet Obstruction (GOO),"- Clinical Features
- Investigations
- Treatment",True,1,2021-08,,"@book?n=SU-srbmos&ed=7&vol=0#884,901"
E_SU_,Achalasia Cardia,"- Causes for Dysphagia
- Etiology
- Pathogenesis
- Clinical Features
- Management;- Motility Disorders of Oesophagus
- Achalasia Cardia",True,2,2021-04;2017-02,,@book?n=SU-srbmos&ed=7&vol=0#853
S_SU_,Helicobacter pylori,,True,2,2020-11;2018-08,,@book?n=SU-srbmos&ed=7&vol=0#876
S_SU_,Gastric Volvulus,- Asked as a Short Answer,True,1,2020-11,,@book?n=SU-srbmos&ed=7&vol=0#899
S_SU_,Metabolic Complications of Gastric Outlet Obstruction,,True,1,2019-08,,@book?n=SU-srbmos&ed=7&vol=0#886
S_SU_,Anatomy of Stomach,- Blood Supply of Stomach (Asked as a Short Answer),True,1,2019-02,,@book?n=SU-srbmos&ed=7&vol=0#871
S_SU_,Gastrectomy,- Billroth II Gastrectomy (Asked as a Short Answer),True,1,2017-08,,@book?n=SU-srbmos&ed=7&vol=0#916
E_SU_,Perforated Peptic Ulcer,"- Complications of Acid Peptic Disease
- Perforated Peptic Ulcer",True,1,2017-08,,"@book?n=SU-srbmos&ed=7&vol=0#881,882,886"
