Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,References
S_SU_,Epididymo-Orchitis,,True,2,2025-03;2009-02,,@book?n=SU-srbmos&ed=7&vol=0#1148
S_SU_,Classification of Testicular Tumours,,True,1,2024-05,,@book?n=SU-srbmos&ed=7&vol=0#1143
S_SU_,Wilms' Tumour (or) Nephroblastoma,,True,5,2024-03;2014-02;2011-08;2008-08;2000-10,,@book?n=SU-srbmos&ed=7&vol=0#1083
S_SU_,Urethral Injury (or) Rupture of Urethra,- Rupture of Membranous Urethra,True,3,2024-08;2015-02;1994-04,,@book?n=SU-srbmos&ed=7&vol=0#1111
S_SU_,Staghorn Calculus,,True,4,2024-08;2019-08;2012-08;1999-10,,@book?n=SU-srbmos&ed=7&vol=0#1082
E_SU_,Testicular Tumours,"- Classification
- Clinical Features
- Investigations
- Staging
- Treatment;- Classification
- Management of Seminoma Testis;- Classification
- Etiology
- Pathogenesis
- Clinical Features
- Investigations
- Treatment of Teratoma",True,8,2023-08;2019-02;2012-02;2010-02;2007-08;2004-08;2001-11;2000-04,,@book?n=SU-srbmos&ed=7&vol=0#1143
S_SU_,Pyelonephritis,,True,1,2023-08,,
S_SU_,Peyronie's Disease,,True,3,2023-08;2013-08;2003-10,,@book?n=SU-srbmos&ed=7&vol=0#1122
E_SU_,Carcinoma Penis,"- Premalignant Conditions
- Clinical Features
- Investigations
- Treatment;- Premalignant Conditions
- Etiology
- Pathogenesis
- Staging
- Management",True,6,2023-03;2021-04;2018-08;2013-02;2011-08;1990-12,,@book?n=SU-srbmos&ed=7&vol=0#1123
S_SU_,Polycystic Kidney Disease (PKD),- Autosomal Dominant PKD,True,3,2022-08;2015-08;1994-11,,@book?n=SU-srbmos&ed=7&vol=0#1065
S_SU_,Torsion of Testes,,True,8,2022-08;2019-08;2017-02;2014-08;2012-08;2011-08;2010-02;2006-02,,@book?n=SU-srbmos&ed=7&vol=0#1142
S_SU_,Hypospadiasis,,True,2,2022-04;2002-03,,@book?n=SU-srbmos&ed=7&vol=0#1115
S_SU_,Hydrocele,- Causes of Secondary Hydrocele (Asked as a Short Answer);- Encysted Hydrocele of the Cord (Asked as a Short Answer);- Complications (Asked as a Short Answer);- Congenital Hydrocele,True,6,2021-08;2018-02;2013-08;2010-02;2009-08;1991-12,,@book?n=SU-srbmos&ed=7&vol=0#1131
S_SU_,Cryptorchidism (or) Undescended Testes,,True,5,2021-04;2018-08;2017-08;2013-02;2003-10,,@book?n=SU-srbmos&ed=7&vol=0#1139
S_SU_,Prostate Specific Antigen (PSA),,True,4,2020-11;2018-02;2016-08;2009-08,,@book?n=SU-srbmos&ed=7&vol=0#1103
