Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,BookLocations,ProbableCases,ReferenceLinks
S_PA_33.1,Osteomyelitis,-Acute Osteomyelitis;-Chronic Osteomyelitis,True,4,2022-08;2011-08;2004-08;2006-08,n=PA-rbpbdsa&ed=10&vol=2#1185;n=PA-ramd&ed=4&vol=1#836,,
S_PA_33.1.1,Pyogenic Osteomyelitis,,True,1,2010-08,n=PA-rbpbdsa&ed=10&vol=2#0;n=PA-ramd&ed=4&vol=1#0,,
S_PA_33.1.2,Mycobacterial Or Tuberculous Osteomyelitis,,True,1,1995-08,n=PA-rbpbdsa&ed=10&vol=2#1186;n=PA-ramd&ed=4&vol=2#839,,
S_PA_33.2,Bone Tumors,-Classification;-Etiopathogenesis and Pathology of Osteogenic Sarcoma;-Genetic Alterations and Morphology of Osteosarcoma;-Radiological Findings in Various Bone Tumors,True,2,2020-11;2023-02,n=&ed=10&vol=2#1187;n=PA-ramd&ed=4&vol=1#841,A 15 year old male presented with lytic lesion lower end of femur. X-Ray revealed Codman’s triangle and sun ray appearance.,
S_PA_33.2.1,Osteosarcoma or Osteogenic Sarcoma,,True,7,2020-02;2009-08;2003-10;2007-08;1991-12;1998-10;2000-10,n=PA-rbpbdsa&ed=10&vol=2#0;n=PA-ramd&ed=4&vol=1#0,"A 15 year old male presented with lytic lesion lower end of femur. X-Ray revealed codman’s triangle and sun ray appearance. ",
S_PA_33.2.2,Osteoclastoma (or) Giant Cell Tumor,,True,5,2017-02;2008-08;2002-03;2012-02;2023-12,,A 30 year old female with **lytic lesion** in distal ulna and X-ray revealed **soap bubble appearance**.,
S_PA_33.2.3,Ewing Sarcoma,,True,6,2022-08;2014-02;2001-04;1995-11;1997-10;2023-12,,,
S_PA_33.2.4,Osteochondroma,,True,2,2023-07;2013-02,,,
S_PA_33.2.5,Chondroblastoma,,True,4,2011-08;2014-08;2002-03;2003-10,,,
S_PA_33.2.6,Cartilage Forming or Chondrogenic Tumors,,True,4,2009-08;2023-02;2010-08;2015-02,,,
S_PA_33.3.1,"Rhabdomyosarcoma
",,True,3,2022-02;2014-08;1997-10,,,
S_PA_33.3.2,Leiomyoma,,True,1,2008-08,,,
S_PA_33.3.3,Liposarcoma,,True,1,2011-02,,,
S_PA_33.3.4,Lipoma,,False,1,,,,
S_PA_33.4,Paget Disease of Bone,,True,3,2008-02;2011-02;2008-02,,,
S_PA_33.5,Rheumatoid Arthritis,,True,1,2022-02,,,
S_PA_33.6,"Osteonecrosis ",,True,1,2011-02,,,
S_PA_33.7,Gout,,True,4,2019-02;2009-08;2018-08;2016-02,,,
S_PA_33.7,Adamantinoma Jaw,,True,1,2014-08,,,
S_PA_,Fracture Healing,,True,2,2012-08;2013-08,,,
