Id,Title,Descriptions,HasPreviouslyBeenAsked,Importance,YearsAsked,ProbableCases,BookReferences,LinkReferences
S_OP_,Corneal ulcer,"- Details about Corneal ulcer;- Prevention
- Management of corneal ulcer perforation.",True,2,2024-02;2012-08,,n=OP-akkco&ed=9&vol=1#94,
S_OP_,Keratoplasty,"- Classification 
- Indication for Penetrating Keratoplasty;- Complications of Keratoplasty;- Indications for Keratoplasty",True,7,2024-02;2021-09;2013-08;2012-02;2010-08;2009-02;1997-04,,n=OP-akkco&ed=9&vol=1#129,
E_OP_,Fungal Corneal Ulcer,"- Aetiopathogenesis
- Clinical features
- Management
- Complications of Fungal Corneal 
Ulcer",True,2,2023-06;2023-02,"40 year old farmer had injury with vegetable foreign body in the left eye following which he developed watering, redness and defective vision, What is the diagnosis? ",n=OP-akkco&ed=9&vol=1#100,
S_OP_,Bullous Keratopathy,,True,1,2023-06,,"n=OP-akkco&ed=9&vol=1#123,126",
S_OP_,Keratoconus,- Details about Keratoconus;- Management of Keratoconus,True,7,2023-02;2022-04;2017-08;2014-02;2013-08;2010-08;1998-04,,n=OP-akkco&ed=9&vol=1#124,
S_OP_,Herpes zoster opthalmicus,"- Details about Herpes Zoster ophthalmicus;- Clinical features
- Management of Herpes Zoster ophthalmicus",True,2,2022-02;2010-08,,n=OP-akkco&ed=9&vol=1#104,
S_OP_,Corneal blindness,,True,1,2019-02,,n=OP-akkco&ed=9&vol=1#126,
S_OP_,Differences between corneal opacity and corneal ulcer,,True,1,2018-08,,,
S_OP_,Organisms invading normal corneal epithelium,,True,2,2018-02;2012-08,,n=OP-akkco&ed=9&vol=1#94,
E_OP_,Bacterial corneal ulcer,"- aetiopathogenesis
- Management;- Aetiology
- Clinical features
- Management",True,3,2024-03;2007-02;2005-02,,n=OP-akkco&ed=9&vol=1#94,
S_OP_,Herpes simplex keratitis,"- Details about Herpes simplex keratitis;- Clinical features
- Management",True,2,2016-08;2013-02,,n=OP-akkco&ed=9&vol=1#102,
S_OP_,Describe anatomy of cornea,,True,1,2016-02,,n=OP-akkco&ed=9&vol=1#90,
E_OP_,Corneal ulcer,"- Clinical features
- Diagnosis
- Investigations
- Management",True,2,2015-08;2005-08,,n=OP-akkco&ed=9&vol=1#94,
S_OP_,Layers of cornea,,True,1,2015-08,,n=OP-akkco&ed=9&vol=1#90,
S_OP_,Geographical ulcer,"- Causes
- Management",True,1,2014-02,,n=OP-akkco&ed=9&vol=1#103,
S_OP_,Common fungi affecting the cornea,,True,1,2014-02,,n=OP-akkco&ed=9&vol=1#100,
E_OP_,Hypopyon corneal ulcer,"- Aetiology
- Clinical features
- Diagnosis
- Treatment;- Ulcer serpens
- Etiology
- Clinical features
- Management",True,7,2013-08;2010-02;2009-02;2006-08;2005-02;2000-10;1993-01,,n=OP-akkco&ed=9&vol=1#97,
S_OP_,Acanthamoeba keratitis,,True,3,2013-08;2011-08;2010-08,,n=OP-akkco&ed=9&vol=1#97,
S_OP_,Common fungi which frequently produce hypopion corneal ulcer,,True,1,2013-02,,n=OP-akkco&ed=9&vol=1#100,
S_OP_,Interstitial keratitis,- Hutchinson triad;- Details about Interstitial keratitis,True,2,2013-02;2007-08,,n=OP-akkco&ed=9&vol=1#114,
S_OP_,Viral keratits,- Clinical features;- Viral infection of cornea,True,3,2012-08;2012-02;2009-08,,n=OP-akkco&ed=9&vol=1#101,
S_OP_,Disciform Keratitis,,True,1,2008-08,,n=OP-akkco&ed=9&vol=1#104,
E_OP_,Herpes simplex keratitis,"- Symptoms
- Signs
- Treatment",True,1,2005-08,,n=OP-akkco&ed=9&vol=1#102,
S_OP_,Fungal keratitis,- Details about Fungal keratitis;- Fungal Corneal ulcer,True,4,2005-08;2003-10;2000-04;1991-12,,n=OP-akkco&ed=9&vol=1#100,
S_OP_,Dendritic Ulcer,,True,3,2005-08;2005-02;1999-04,,n=OP-akkco&ed=9&vol=1#103,
S_OP_,Corneal vascularisation,- Details about Corneal Vascularization;- Pannus,True,2,2004-08;2002-03,,n=OP-akkco&ed=9&vol=1#128,
S_OP_,Keratomycosis,,True,1,2001-11,,n=OP-akkco&ed=9&vol=1#100,
S_OP_,Exposure keratitis,,True,2,2001-11;1993-01,,n=OP-akkco&ed=9&vol=1#110,
S_OP_,Corneal opacity,,True,1,1996-10,,n=OP-akkco&ed=9&vol=1#126,
S_OP_,"Hypopion Corneal Ulcer ",,True,1,1999-11,,n=OP-akkco&ed=9&vol=1#97,
E_OP_,"Herpetic kerato conjunctivitis ","- Aetiopathogenesis
- Clinical features
- Management",True,1,1995-04,,n=OP-akkco&ed=9&vol=1#101,
S_OP_,Management of Fascicular ulcer,,True,1,2014-02,,,
